product_id,Name,Published,Is_featured?,Short_description,Description,Date_sale price_starts,Date_sale_price_ends,Tax_class,In_stock,Stock,Low_stock_amount,Allow_customer_reviews,Sale_price,Regular_price,Cost,Margin,Categories,product_image
,F Anta Fruit Twist 330Ml,0,0,,,,,vat-20,1,24,2,1,,0.75,0.46,63%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/fanta-frut-twist.jpg
,Pepsi Max Can 330Ml,0,0,,,,,vat-20,1,24,2,1,,0.75,0.41,83%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/Pepsi-Max-Can-330ml.jpg
,Quice Apple Juice 250Ml,0,0,,,,,zero-rate,1,5,2,1,,0.75,0.25,200%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/06/download-14.jpeg
,Quice Fruit Punch Juice 250Ml,0,0,,,,,zero-rate,1,5,2,1,,0.75,0.25,200%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/06/download-28.jpeg
,Quice Mango Juice 250Ml,0,0,,,,,zero-rate,1,5,2,1,,0.75,0.25,200%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/06/download-31.jpeg
,Tango Orange Can 330Ml,0,0,,,,,vat-20,1,24,2,1,,0.75,0.41,83%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/Orange-Tango_2048x.webp
,Volvic Still Water 500Ml,0,0,,,,,vat-20,1,24,2,1,,0.69,0.32,116%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/volvic-still-mineral-water-24x-500ml-1.webp
,Es Citrus Jce Drink 500Ml,0,0,,,,,vat-20,1,12,2,1,,0.65,0.43,51%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/ES-Citrus-Jce-Drink-500ml.jpg
,Princes Apple Paper Straws 200Ml,0,0,,,,,vat-20,1,27,2,1,,0.65,0.43,51%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/Princes-Apple-Paper-Straws-200ml.jpg
,Princes Orange Paper Straws 200Ml,0,0,,,,,vat-20,1,27,2,1,,0.65,0.38,71%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/Princes-Orange-Paper-Straws-200ml.webp
,Ribena Blackcurrant 250Ml,0,0,,,,,vat-20,1,24,2,1,,0.65,0.44,48%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/ribena.jpg
,Ribena Strawberry 250Ml,0,0,,,,,vat-20,1,24,2,1,,0.65,0.44,48%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/Ribena-Strawberry-250ml.png
,Fruit Shoot Orange 200Ml,0,0,,,,,vat-20,1,5,2,1,,0.6,0.396,52%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/06/download-9.jpeg
,Aqua Pura Sparkling Water 500Ml,0,0,,,,,vat-20,1,5,2,1,,0.59,0.24949,136%,Beverages,
,Avant Water 500Ml,0,0,,,,,vat-20,1,5,2,1,,0.5,0.17449,187%,Beverages,
,Es Apple Juice 200Ml,0,0,,,,,vat-20,1,24,2,1,,0.5,0.33,52%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/ES-Apple-Juice-200ml.jpg
,Kirkland Spring Water 500Ml,0,0,,,,,vat-20,1,5,2,1,,0.5,0.18,178%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/06/download-10.jpeg
,Big Time Bgum Paper Straw 200Ml,0,0,,,,,vat-20,1,24,2,1,,0.29,0.12,142%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/Big-Time-BGum-paper-Straw-200ml.jpg
,Big Time Blkcrnt Paper Straw 200Ml,0,0,,,,,vat-20,1,24,2,1,,0.29,0.12,142%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/Big-Time-Blkcrnt-paper-Straw-200ml.jpg
,Maltesers Shake 350Ml,0,0,,,,,zero-rate,1,8,2,1,,1.49,0.81,84%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/MALTESERS-SHAKE-1.49-350ml.jpg
,Mogu Mogu Nata De Coco Mango 320Ml,0,0,,,,,vat-20,1,24,2,1,,1.29,0.79,63%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/Mogu-Mogu-Nata-De-Coco-Mango-320ml.jpg
,Aloe Hawain 500ml,0,0,,,,,vat-20,1,5,2,1,,0.99,0.72,38%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/06/Aloe-Hawain-500ml.webp
,Aqua Carpatica Still Water 1lt,0,0,,,,,vat-20,1,5,2,1,,0.99,0.63,57%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/06/Aqua-Carpatica-Still-Water-1lt.jpeg
,Smart Water 600ml,0,0,,,,,vat-20,1,5,2,1,,0.79,0.49476,60%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/06/Smart-Water-600ml.jpeg
,Pepsi Reg 1.5lt,0,0,,,,,vat-20,1,6,2,1,,1.99,1.398,42%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/07/pepsi-soft-drink-pepsi-cola-original-soft-drink-disposable-pet-bottle-1-5lt-36184856789218.webp
,Limca Bottles 300Ml,0,0,,,,,vat-20,1,2,2,1,,1.5,0.66,127%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/09/download-11.jpeg
,Tropical Sun Coconut Water 300Ml,0,0,,,,,vat-20,1,3,2,1,,1.79,0.83,116%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/09/Tropical-Sun-Coconut-Water-300Ml.jpg
,Vita Coco Natural Coconut Water 1000ml,0,0,,,,,vat-20,1,3,2,1,,2.99,1.53,95%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/09/Vita-Coco-Natural-Coconut-Water-1000ml.jpeg
,Vita Coco Natural Coconut Water 330ml,0,0,,,,,zero-rate,1,3,2,1,,1.25,0.62,102%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/09/Vita-Coco-Natural-Coconut-Water-330ml.webp
,Kashmira Masala Jeera Soda 250ml,0,0,,,,,zero-rate,1,5,2,1,,1.49,0.85,75%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/10/Kashmira-Masala-Jeera-Soda-250ml.jpeg
,TAS sugarcane drink 310ml,0,0,,,,,vat-20,1,5,2,1,,0.99,0.5,98%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/10/TAS-sugarcane-drink-310ml.jpg
,Monster Ultra Black 500Ml,0,0,,,,,vat-20,1,5,2,1,,1.55,1.044,48%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/10/download-29-1.jpeg
,Bulldog Energy Drink 250Ml,0,0,,,,,vat-20,1,5,2,1,,0.49,0.2484,97%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/10/download-28-1.jpeg
,Voss Water Glass 800Ml,0,0,,,,,vat-20,1,5,2,1,,2.49,1.5,66%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/10/download-26-1.jpeg
,San Pellegrino Pet Water 1Lt,0,0,,,,,vat-20,1,5,2,1,,1.49,1.008,48%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/10/download-25-1.jpeg
,Limca P Bottles 300Ml,0,0,,,,,vat-20,1,5,2,1,,1.19,0.6,98%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/10/images-9.jpeg
,7Up Nimbo Mas Drink 250Ml,0,0,,,,,vat-20,0,0,2,1,,1.49,0.732,104%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/10/download-23-1.jpeg
,Perrier Sparkling Water 750Ml,0,0,,,,,vat-20,1,5,2,1,,1.75,1.092,60%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/10/download-22-1.jpeg
,Frooti 125Ml,0,0,,,,,vat-20,1,5,2,1,,0.69,0.336,105%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/10/download-32-1.jpeg
,Limca P Bottles 750Ml,0,0,,,,,vat-20,1,5,2,1,,1.99,0.996,100%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/10/download-34.jpeg
,Mogu Mogu Guava 320Ml,0,0,,,,,vat-20,1,5,2,1,,1.29,0.792,63%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/10/download-13-2.jpeg
,Mirinda Can 330Ml,0,0,,,,,vat-20,1,5,2,1,,0.99,0.348,184%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/10/download-5-3.jpeg
,Thumps Up 750Ml,0,0,,,,,zero-rate,0,0,2,1,,1.69,0.83,104%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/10/download-14.jpeg
,Evian Water 1.5L,0,0,,,,,vat-20,1,5,2,1,,0.84,1.49,-44%,Beverages,https://desismart.co.uk/wp-content/uploads/2024/01/download-24.jpeg
,Brooke Bond Red Label Tea 450g,1,0,,,,,zero-rate,0,0,2,1,,5.49,3.75,46%,Beverages > Tea & Coffee,https://desismart.co.uk/wp-content/uploads/2023/07/Brooke-Bond-Red-Label-Tea-450g.jpg
,Samahan Tea Bags 30,1,0,,,,,zero-rate,0,0,2,1,,5.99,4.25,41%,Beverages > Tea & Coffee,https://desismart.co.uk/wp-content/uploads/2023/07/Samahan-Tea-Bags-30.jpg
,Lipton Ice Tea Peach 500ml,1,0,,,,,vat-20,1,6,2,1,,1.25,0.669,87%,Beverages > Tea & Coffee,https://desismart.co.uk/wp-content/uploads/2023/07/Lipton-Ice-Tea-Peach-500ml-x-12.webp
,Lipton Ice Tea Lemon 500ml,1,0,,,,,vat-20,1,6,2,1,,1.25,0.669,87%,Beverages > Tea & Coffee,https://desismart.co.uk/wp-content/uploads/2023/07/Lipton-Ice-Tea-Lemon-500ml.webp
,Bru Instant Coffee 200G,1,0,,"Bru Instant Coffee is prepared from a carefully selected combination of plantation and Robusta beans. These coffee beans are first roasted to perfection, and then the new and improved technique guarantees that the fresh coffee scent is kept, giving you a rich coffee taste that is unrivaled. Bru Instant coffee may be used to produce both a fragrant cup of hot coffee and a delicious drink of cold coffee. You may now share a terrific coffee experience with your loved ones thanks to Bru Instant.",,,zero-rate,1,1,2,1,,8.99,5.99,50%,"Beverages > Tea & Coffee, Groceries > Tea & Coffee",https://desismart.co.uk/wp-content/uploads/2022/06/Bru_Instant-removebg-preview.png
,Bru Green Label Filter Coffee 500G,1,0,,<blockquote>&nbsp;</blockquote>,,,zero-rate,0,0,2,1,,5.99,3.99,50%,"Beverages > Tea & Coffee, Groceries > Tea & Coffee","https://desismart.co.uk/wp-content/uploads/2022/06/Bru-Green-Label-Filter-Coffee-200g-1.jpg, https://desismart.co.uk/wp-content/uploads/2022/06/Bru-Green-Label-Filter-Coffee-200g-2.jpg, https://desismart.co.uk/wp-content/uploads/2022/06/Bru-Green-Label-Filter-Coffee-200g-3.jpg"
,Tetley Green Tea Lemon 20S,1,0,,,,,zero-rate,1,5,2,1,,1.75,1.0725,63%,"Beverages > Tea & Coffee, Groceries > Tea & Coffee",https://desismart.co.uk/wp-content/uploads/2023/05/Tetley-Green-Tea-Lemon-20s.jpeg
,Tetley T/Bags 40S,1,0,,,,,zero-rate,1,4,2,1,,1.59,0.83,92%,"Beverages > Tea & Coffee, Groceries > Tea & Coffee",https://desismart.co.uk/wp-content/uploads/2023/05/TETLEY-T-BAGS-40S.jpeg
,Lifestyle Cappuccino 112G,1,0,,,,,zero-rate,1,5,2,1,,1.19,0.88125,35%,"Beverages > Tea & Coffee, Groceries > Tea & Coffee",https://desismart.co.uk/wp-content/uploads/2023/06/Lifestyle-Cappuccino-Sweetened-Sachets-8pk.png
,Brooke Bond Natural Red Label Tea 500g,1,0,,,,,zero-rate,1,4,2,1,,6.49,4.5,44%,"Beverages > Tea & Coffee, Groceries > Tea & Coffee",https://desismart.co.uk/wp-content/uploads/2023/09/Brooke-Bond-Natural-Red-Label-Tea-500g.jpg
,Tea India Ginger Chai 100g,1,0,,"<div id=""product-marketing"" class=""product-info-block product-info-block--product-marketing "">\n<ul class=""product-info-block__content"">\n 	<li class=""product-info-block__content-item"">Enjoy the perfect taste of a priceless cup of tea</li>\n 	<li class=""product-info-block__content-item"">Ordinary teas usually provide either Strength or just Flavour. New Brooke Bond Taj Mahal tea gives you the much-coveted perfect balance of both strength and exquisite flavour. This makes it a priceless cup of tea. Only Taj contains the Finest tea leaves that gives you strong taste, great flavour and an unmatchable tea experience. New Taj Mahal - a perfect tea, beyond compare...</li>\n 	<li class=""product-info-block__content-item"">No wonder Taj has been a preferred choice of the discerning as a symbol of the best of India.</li>\n</ul>\n</div>\n<div id=""brand-marketing"" class=""product-info-block product-info-block--brand-marketing "">\n<ul class=""product-info-block__content"">\n 	<li class=""product-info-block__content-item"">Since 1869 Brooke Bond's specialists have selected tender leaves from the best gardens to scientifically and ceremonially bring nature's gift to you.</li>\n 	<li class=""product-info-block__content-item"">Tea is expertly tasted, graded and perfectly blended in the unique Brooke Bond Tea Excellence Centre to cheer your senses in all moments of life.</li>\n</ul>\n</div>\n<div id=""manufacturer-marketing"" class=""product-info-block product-info-block--manufacturer-marketing "">\n<p class=""product-info-block__content"">A quality product from Hindustan Unilever Limited</p>\n\n</div>\n<div id=""features"" class=""product-info-block product-info-block--features "">\n<ul class=""product-info-block__content"">\n 	<li class=""product-info-block__content-item"">International pack</li>\n 	<li class=""product-info-block__content-item"">Strength &amp; flavour in a perfect blend</li>\n 	<li class=""product-info-block__content-item"">Exclusive selection of finest teas</li>\n 	<li class=""product-info-block__content-item"">Selection of the finest tea leaves</li>\n 	<li class=""product-info-block__content-item"">A unique blend to give you the best combination of strength and flavour</li>\n</ul>\n</div>\n<div id=""pack-size"" class=""product-info-block product-info-block--pack-size "">\n<ul class=""product-info-block__content"">\n 	<li class=""product-info-block__content-item"">Pack size: 450G</li>\n</ul>\n</div>",,,zero-rate,1,4,2,1,,3.49,2.25,55%,"Beverages > Tea & Coffee, Groceries > Tea & Coffee",https://desismart.co.uk/wp-content/uploads/2024/03/download.webp
,Cherry Coke 330Ml,0,0,,,,,vat-20,1,24,2,1,0.75,0.95,0.6,58%,"Beverages, Sale",https://desismart.co.uk/wp-content/uploads/2023/04/Cherry-Coke-330ml.jpg
,Cherry Coke 330Ml 2pcs,0,0,,,,,vat-20,1,24,2,1,1.4,1.8,1.2,50%,"Beverages, Sale",https://desismart.co.uk/wp-content/uploads/2023/04/Cherry-Coke-330ml.jpg
,Weetabix 24Pk,0,0,,,,,zero-rate,1,10,2,1,,3.89,2.78,40%,Breakfast,https://desismart.co.uk/wp-content/uploads/2023/04/Weetabix-24pk.webp
,Kelloggs Coco Pops 480G,0,0,,,,,zero-rate,1,5,2,1,,3.29,2.35,40%,Breakfast,
,Kelloggs Crunchy Nut 500G,0,0,,,,,zero-rate,1,8,2,1,,3.29,2.46,34%,Breakfast,https://desismart.co.uk/wp-content/uploads/2023/04/Kelloggs-Crunchy-Nut-500g.webp
,Kelloggs Frosties 500G,0,0,,,,,zero-rate,1,8,2,1,,3.29,2.46,34%,Breakfast,https://desismart.co.uk/wp-content/uploads/2023/04/Kelloggs-Frosties-500g.jpg
,Kelloggs Rice Krispies 510G,0,0,,,,,zero-rate,1,5,2,1,,3.29,2.47,33%,Breakfast,
,Kigs Rice Krispies 510G,0,0,,,,,zero-rate,1,6,2,1,,3.29,2.47,33%,Breakfast,https://desismart.co.uk/wp-content/uploads/2023/04/rice-krispies.jpg
,Cl 4In Seeded Burger Buns 6X58G,0,0,,,,,zero-rate,0,0,2,1,,2.99,2.1725,38%,Breakfast,https://desismart.co.uk/wp-content/uploads/2023/05/CL-4in-Seeded-Burger-Buns-6x58g.jpg
