product_id,Name,Published,Is_featured?,Short_description,Description,Date_sale price_starts,Date_sale_price_ends,Tax_class,In_stock,Stock,Low_stock_amount,Allow_customer_reviews,Sale_price,Regular_price,Cost,Margin,Categories,product_image
,Grace Coconut Water 1Lt,0,0,Abcd,Abcdefgh,,,vat-20,1,5,2,1,2,3.49,2.76,26%,Beverages,
,Ts Coconut Water 520Ml,0,0,,,,,vat-20,1,5,2,1,1.5,1.99,1.248,59%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/05/TS-Coconut-Water-520ml.jpg
,Tango Dark Berry Sf 2Lt,0,0,,,,,vat-20,1,12,2,1,,1.89,1.26,50%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/Tango-Dark-Berry-SF-2lt-1.jpg
,Schw Lemonade S/L 2Ltr,0,0,,,,,vat-20,1,5,2,1,,1.75,1.2672,38%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/05/SCHW-LEMONADE-S-L-2ltr.webp
,Chupa Chups Squeezee Frzpopg 12 X 45Ml,0,0,,,,,vat-20,1,14,2,1,,1.59,1.08,47%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/Chupa-Chups-Squeezee-Frzpopg-12-x-45ml-1.jpg
,Costa Latte 250Ml,0,0,,,,,vat-20,1,5,2,1,,1.59,0.948,68%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/05/COSTA-LATTE-250ml.webp
,Frooti 600Ml,0,0,,,,,vat-20,1,3,2,1,,1.59,1.32,20%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/06/Frooti-600Ml.jpg
,Fruit Shoot Squeezee 12 X 45Ml,0,0,,,,,vat-20,1,15,2,1,,1.59,1.08,47%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/Fruit-Shoot-Squeezee-12-x-45ml.jpg
,Irn Bru 2Lt,0,0,,,,,vat-20,1,6,2,1,,1.59,1.18,35%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/Irn-Bru-2lt.png
,Juiceburst Apple 500Ml,0,0,,,,,vat-20,1,12,2,1,,1.59,0.91,75%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/Juiceburst-Apple-500ml.jpg
,Juiceburst Orange 500Ml,0,0,,,,,vat-20,1,12,2,1,,1.59,1,59%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/Juiceburst-Orange-500ml.webp
,Coca Cola Regular 500Ml,0,0,,,,,vat-20,1,24,2,1,,1.5,1.02,47%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/Coca-Cola-Regular-500ml.webp
,Diet Coke Contour Pet 500Ml,0,0,,,,,vat-20,1,24,2,1,,1.5,1.03,46%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/Diet-Coke-contour-PET-500ml.jpg
,Diet Coke Pet 500Ml,0,0,,,,,vat-20,1,5,2,1,,1.5,1.236,21%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/05/Diet-Coke-PET-500ml.jpg
,J20 Apple & Mango 275Ml,0,0,,,,,vat-20,1,12,2,1,,1.49,0.95,57%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/J20-Apple-Mango-275ml.jpg
,J20 Apple & Raspberry 275Ml,0,0,,,,,vat-20,1,12,2,1,,1.49,0.95,57%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/J20-Apple-Raspberry-275ml.png
,J20 Orange & Passionfruit 275Ml,0,0,,,,,vat-20,1,12,2,1,,1.49,0.95,57%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/J20-Orange-Passionfruit-275ml.png
,Juiceburst Orange/ Carrot Juice 500Ml,0,0,,,,,vat-20,1,12,2,1,,1.49,0.91,64%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/JuiceBurst-Orange-Carrot-Juice-500ml.jpg
,Monster Aussie Lemonade 500Ml,0,0,,,,,vat-20,1,5,2,1,,1.49,0.924,61%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/06/download-12.jpeg
,Monster Energy 500Ml,0,0,,,,,vat-20,1,12,2,1,,1.49,0.94,59%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/MONSTER-ENERGY-1.49-500ml-1.jpg
,Monster Nitro 500Ml,0,0,,,,,vat-20,1,12,2,1,,1.49,0.94,59%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/Monster-Energy-Nitro-Super-Dry-500ml.jpg
,Rubicon Mango 1Lt,0,0,,,,,vat-20,1,12,2,1,,1.49,1.12,33%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/Rubicon-Mango-1lt.jpeg
,Red Bull Energy Drink,0,0,,,,,vat-20,1,5,2,1,,1.45,0.924,57%,Beverages,
,Monster Llt Wite 500Ml,0,0,,,,,vat-20,1,24,2,1,,1.39,0.85,64%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/U-1MON5U05-15_11_2022_14_16_11-1.jpg
,Monster Ultra Wtrmoion,0,0,,,,,vat-20,0,0,2,1,,1.39,0.84,65%,Beverages,
,Mountain Dew Citrus 500Ml,0,0,,,,,vat-20,1,12,2,1,,1.39,0.95,46%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/mountain-dew-citrus-blast-500ml-plastic-bottle_1200x1200.webp
,Red Bull Sugar Free,0,0,,,,,vat-20,1,5,2,1,,1.39,0.84,65%,Beverages,
,Pepsi Regular 500Ml,0,0,,,,,vat-20,1,12,2,1,,1.3,0.83,57%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/Pepsi-Regular-500ml.jpg
,Yazoo Banana 400Ml,0,0,,,,,vat-20,1,5,2,1,,1.29,0.96,34%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/05/YAZOO-BANANA-400ml.jpg
,Yazoo Choc Mint 400Ml,0,0,,,,,vat-20,1,5,2,1,,1.29,0.96,34%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/05/YAZOO-CHOC-MINT-400ml.jpeg
,Lucozade Energy Orange,0,0,,,,,vat-20,1,5,2,1,,1.25,0.804,55%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/06/download-26.jpeg
,Lucozade Energy Originnl,0,0,,,,,vat-20,1,5,2,1,,1.25,0.804,55%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/06/download-27.jpeg
,Pepsi Max Pet 500Ml,0,0,,,,,vat-20,1,12,2,1,,1.25,0.77,62%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/Pepsi-Max-PET-500ml.png
,Ribena Light Blckcrrnt 500Ml,0,0,,,,,vat-20,1,12,2,1,,1.25,0.75,67%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/Ribena-Light-Blckcrrnt-500ml.jpg
,Ribena Nas Strawberry 500Ml,0,0,,,,,vat-20,1,12,2,1,,1.25,0.75,67%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/Ribena-NAS-strawberry-500ml.webp
,Dr Pepper Zero 500Ml,0,0,,,,,vat-20,1,12,2,1,,1.2,0.86,40%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/DR-PEPPER-ZERO-1.20-500ml.jpg
,Dr Pepper Zero 500Ml,0,0,,,,,vat-20,1,5,2,1,,1.2,1.032,16%,Beverages,
,Oasis Citrus Punch 500Ml,0,0,,,,,vat-20,1,12,2,1,,1.2,0.75,60%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/citrus.jpeg
,Thumps Up 300Ml,0,0,,,,,vat-20,1,5,2,1,,1.15,0.96,20%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/05/THUMPS-UP-300ML.jpg
,Limca 300Ml,0,0,,,,,vat-20,1,5,2,1,,1.09,0.9,21%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/06/images-1.jpeg
,Lipton Ice Raspbnz 500Ml,0,0,,,,,vat-20,1,12,2,1,,1.09,0.68,60%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/Lipton-ice-Raspbnz-500ml.jpg
,7Up Free 330Ml,0,0,,,,,vat-20,1,24,2,1,,0.99,0.41,141%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/7Up-Free-Can-330ml-Soft-Drinks.webp
,7Up Regular Can 330Ml,0,0,,,,,vat-20,1,24,2,1,,0.99,0.41,141%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/7up-Regular-Can-330ml.jpg
,Avant Water 1.5Lt,0,0,,,,,vat-20,1,5,2,1,,0.99,0.57799,71%,Beverages,
,Dr Pepper 330Ml,0,0,,,,,vat-20,1,24,2,1,,0.99,0.54,83%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/Dr-Pepper-330ml.webp
,F/ Sht Orange Low Sugar 275Ml,0,0,,,,,vat-20,1,12,2,1,,0.99,0.53,87%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/FSht-Orange-Low-Sugar-275ml.jpg
,F/ Sht Summer Fruits Low Sgr 275Ml,0,0,,,,,vat-20,1,12,2,1,,0.99,0.53,87%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/Fsht-Summer-Fruits-Low-Sgr-275ml.jpg
,Fanta Lemon 330Ml,0,0,,,,,vat-20,1,24,2,1,,0.99,0.54,83%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/Fanta-Lemon-330ml-1.jpg
,Fanta Orange Can 330Ml,0,0,,,,,vat-20,1,24,2,1,,0.99,0.54,83%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/Fanta-Orange-330ml.webp
,Fanta Orange Zero 330Ml,0,0,,,,,vat-20,1,24,2,1,,0.99,0.54,83%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/Fanta-Orange-Zero-330ml-1.jpg
,Fever Medit Tonic Water 200Ml,0,0,,,,,vat-20,1,24,2,1,,0.99,0.7,41%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/FEVER-MEDIT-TONIC-WATER-200ml.jpg
,Irn Bru 330Ml,0,0,,,,,vat-20,1,24,2,1,,0.99,0.48,106%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/Irn-Bru-330ml.jpg
,S/Ply Fruity App&B/Crt Plain 330Ml,0,0,,,,,vat-20,1,12,2,1,,0.99,0.4,148%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/Sply-Fruity-AppBcrt-Plain-330ml.jpg
,Sprite Can 330Ml,0,0,,,,,vat-20,1,24,2,1,,0.99,0.51,94%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/sprite-Can-330ml-1.jpg
,Tango Sf Dark Berry 330Ml,0,0,,,,,vat-20,1,24,2,1,,0.99,0.41,141%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/Tango-SF-Dark-Berry-330ml.webp
,Coke Zero 330Ml,0,0,,,,,vat-20,1,24,2,1,,0.89,0.45,98%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/Coke-Zero-330ml.jpg
,Diet Coke Can 330Ml,0,0,,,,,vat-20,1,24,2,1,,0.89,0.45,98%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/Diet-Coke-Can-330ml.jpeg
,Es Energy Drink 500Ml,0,0,,,,,vat-20,1,5,2,1,,0.89,0.492,81%,Beverages,
,Es Summer Ets Juice 500Ml,0,0,,,,,vat-20,0,0,2,1,,0.89,0.53,68%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/ES-summer-Ets-Juice-500ml.jpg
,Pepsi Diet Can 330Ml,0,0,,,,,vat-20,1,24,2,1,,0.89,0.41,117%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/Pepsi-Diet-Can-330ml.webp
,Fruit Shoot Apple / Blackcurrent 275Ml,0,0,,,,,vat-20,1,12,2,1,,0.85,0.51,67%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/Fruit-Shoot-Apple-Blackcurrent-275ml.jpg
,Pepsi Regular 330Ml,0,0,,,,,vat-20,1,24,2,1,,0.8,0.4,100%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/Pepsi-Regular-330ml.jpg
,Boost Energy Original 250Ml,0,0,,,,,vat-20,1,5,2,1,,0.75,0.408,84%,Beverages,
,Evian Water 500Ml,0,0,,,,,vat-20,1,5,2,1,,0.75,0.325,131%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/06/images.jpeg
