Id,Category_Level_0,Sub_Cat_Level_1,Sub_Cat_Level_2,Sub_Cat_Level_3
202210,Breakfast,,,
202211,Beverages,Nutritional Drinks,,
202212,,Tea & Coffee,,
202213,Groceries,Attas & Flours,Attas,
202214,,,Flours,
202215,,,Ravas,
202216,,,Instant Cook,
202217,,,Ready / Instant Mix,
202218,,,Healthy,
202219,,Pulses & Dals,,
202220,,Nuts & Dry Fruits,,
202221,,Ghees & Oils,Ghees,Cow
202222,,,,Buffalo
202223,,,Oils,Groundnut
202224,,,,Sesame
202225,,,,Sunflower
202226,,,,Mustard
202227,,,,Pooja
202228,,Papads (Fryums),,
202229,,Food Colors,,
202230,,Sweeteners,,
202231,,Tea & Coffee,,
202232,Rice,Basmati,,
202233,,Sona Masoori Rice,,
202234,,Single Polished,,
202235,,Matta / Ponni Rice,,
202236,,Other Rice Varieties,,
202237,,Poha / Murmura,,
202238,,Millet,Millets,
202239,,,Millet Ravas,
202240,,,Millet Noodles,
202241,Spices,Herbs,,
202242,,Ground Spices,,
202243,,Whole Spices,,
202244,,Pastes & Sauces,,
202245,Fruits & Veggies,Seasonal Fruits,,
202246,,Vegetables,,
202247,,Leafy Vegetables,,
202248,,Tinned,,
202249,Pickles,Priya,,
202250,,Navy Mukhi,,
202251,,Village,,
202252,,Telugu Foods,,
202253,,Non-Veg Pickles,,
202254,,Karam Podi,,
202255,Sweets & Savouries,Desi Sweets,,
202256,,Biscuits,,
202257,,Chocolates,,
202258,,Chips,,
202259,,GRB,,
202260,,A2B,,
202261,,Heera,,
202262,,Telugu Foods,,
202263,Household,GoGreen,,
202264,,Accessories,,
202265,,Beauty,,
202266,,Health & Wellbeing,,
202267,,Party & Fun,,
202268,,Stationery,,
202269,,Rakhi,,
202270,Pooja,Brass & Cooper,,
,,Camphor,,
,,Dipam,,
,,Idols,,
,,Incense Sticks,,
,,Photo Frames,,
,,Pooja Kits,,
,,Pooja Mandirs,,
,,Powders,,
,,Special Occasions,,
