product_id,Name,Published,Is_featured?,Short_description,Description,Date_sale price_starts,Date_sale_price_ends,Tax_class,In_stock,Stock,Low_stock_amount,Allow_customer_reviews,Sale_price,Regular_price,Cost,Margin,Categories,product_image
200232,Lucozade Energy Originnl,0,0,,,,,vat-20,1,5,2,1,,1.25,0.804,55%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/06/download-27.jpeg
200233,Pepsi Max Pet 500Ml,0,0,,,,,vat-20,1,12,2,1,,1.25,0.77,62%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/Pepsi-Max-PET-500ml.png
200234,Ribena Light Blckcrrnt 500Ml,0,0,,,,,vat-20,1,12,2,1,,1.25,0.75,67%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/Ribena-Light-Blckcrrnt-500ml.jpg
200235,Ribena Nas Strawberry 500Ml,0,0,,,,,vat-20,1,12,2,1,,1.25,0.75,67%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/Ribena-NAS-strawberry-500ml.webp
200236,Dr Pepper Zero 500Ml,0,0,,,,,vat-20,1,12,2,1,,1.2,0.86,40%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/DR-PEPPER-ZERO-1.20-500ml.jpg
200237,Dr Pepper Zero 500Ml,0,0,,,,,vat-20,1,5,2,1,,1.2,1.032,16%,Beverages,
200238,Oasis Citrus Punch 500Ml,0,0,,,,,vat-20,1,12,2,1,,1.2,0.75,60%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/citrus.jpeg
200239,Thumps Up 300Ml,0,0,,,,,vat-20,1,5,2,1,,1.15,0.96,20%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/05/THUMPS-UP-300ML.jpg
200240,Limca 300Ml,0,0,,,,,vat-20,1,5,2,1,,1.09,0.9,21%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/06/images-1.jpeg
200241,Lipton Ice Raspbnz 500Ml,0,0,,,,,vat-20,1,12,2,1,,1.09,0.68,60%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/Lipton-ice-Raspbnz-500ml.jpg
200242,7Up Free 330Ml,0,0,,,,,vat-20,1,24,2,1,,0.99,0.41,141%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/7Up-Free-Can-330ml-Soft-Drinks.webp
200243,7Up Regular Can 330Ml,0,0,,,,,vat-20,1,24,2,1,,0.99,0.41,141%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/7up-Regular-Can-330ml.jpg
200244,Avant Water 1.5Lt,0,0,,,,,vat-20,1,5,2,1,,0.99,0.57799,71%,Beverages,
200245,Dr Pepper 330Ml,0,0,,,,,vat-20,1,24,2,1,,0.99,0.54,83%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/Dr-Pepper-330ml.webp
200246,F/ Sht Orange Low Sugar 275Ml,0,0,,,,,vat-20,1,12,2,1,,0.99,0.53,87%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/FSht-Orange-Low-Sugar-275ml.jpg
200247,F/ Sht Summer Fruits Low Sgr 275Ml,0,0,,,,,vat-20,1,12,2,1,,0.99,0.53,87%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/Fsht-Summer-Fruits-Low-Sgr-275ml.jpg
200248,Fanta Lemon 330Ml,0,0,,,,,vat-20,1,24,2,1,,0.99,0.54,83%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/Fanta-Lemon-330ml-1.jpg
200249,Fanta Orange Can 330Ml,0,0,,,,,vat-20,1,24,2,1,,0.99,0.54,83%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/Fanta-Orange-330ml.webp
200250,Fanta Orange Zero 330Ml,0,0,,,,,vat-20,1,24,2,1,,0.99,0.54,83%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/Fanta-Orange-Zero-330ml-1.jpg
200251,Fever Medit Tonic Water 200Ml,0,0,,,,,vat-20,1,24,2,1,,0.99,0.7,41%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/FEVER-MEDIT-TONIC-WATER-200ml.jpg
200252,Irn Bru 330Ml,0,0,,,,,vat-20,1,24,2,1,,0.99,0.48,106%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/Irn-Bru-330ml.jpg
200253,S/Ply Fruity App&B/Crt Plain 330Ml,0,0,,,,,vat-20,1,12,2,1,,0.99,0.4,148%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/Sply-Fruity-AppBcrt-Plain-330ml.jpg
200254,Sprite Can 330Ml,0,0,,,,,vat-20,1,24,2,1,,0.99,0.51,94%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/sprite-Can-330ml-1.jpg
200255,Tango Sf Dark Berry 330Ml,0,0,,,,,vat-20,1,24,2,1,,0.99,0.41,141%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/Tango-SF-Dark-Berry-330ml.webp
200256,Coke Zero 330Ml,0,0,,,,,vat-20,1,24,2,1,,0.89,0.45,98%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/Coke-Zero-330ml.jpg
200257,Diet Coke Can 330Ml,0,0,,,,,vat-20,1,24,2,1,,0.89,0.45,98%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/Diet-Coke-Can-330ml.jpeg
