Id,Name,Published,Isfeatured,Shortdescription,Description,Datesalepricestarts,Datesalepriceends,TaxClass,Instock,Stock,Lowstockamount,Allowcustomerreviews,SalePrice,Regularprice,CostPrice,Margin,Categories,product_image
200768,Hemani Eucalyptus Oil 30G,1,0,,,,,20.01,1,3,2,1,1.5,1.5,0.78,,Groceries > Ghees & Oils,
200769,Niharti Castor Oil 100Ml,1,0,,,,,20.01,0,0,2,1,1.5,1.99,1.19,,Groceries > Ghees & Oils,
200770,Shree Krishna Filtered Groundnut Oil 1lt,1,0,,,,,20.01,1,4,2,1,1.5,4.59,3,,Groceries > Ghees & Oils,
200771,Bodrum Sunflower Oil 1lt,1,0,,,,,20.01,1,5,2,1,1.5,2.65,1.71,,Groceries > Ghees & Oils,
200772,EE Pure Sunflower Oil 1lt,1,0,,,,,20.01,1,4,2,1,1.5,2.69,2.02,,Groceries > Ghees & Oils,
200773,Ashoka Pure Butter Ghee 1Kg,1,0,,,,,20.01,1,5,2,1,1.5,11.99,6.415,,Groceries > Ghees & Oils,
200774,Niharti Pure Sesame Oil 1Lit,1,0,,,,,20.01,1,1,2,1,1.5,5.49,4,,Groceries > Ghees & Oils,
200775,Patanjali Ghee 500G,1,0,,,,,20.01,1,7,2,1,1.5,7.99,4.99,,Groceries > Ghees & Oils,
200776,Bajaj Coco Onion Oil 180Ml,1,0,,,,,20.01,1,4,2,1,1.5,2.99,1.992,,Groceries > Ghees & Oils,
200777,Sk Cold Pressed Sesame Oil 1Lt,1,0,,,,,20.01,0,0,2,1,1.5,5.99,4.75,,Groceries > Ghees & Oils,
200778,Sk Sesame Oil 750Ml,1,0,,,,,20.01,1,3,2,1,1.5,4.99,3.75,,Groceries > Ghees & Oils,
200779,KTC Vegetable Oil 1lit,1,0,,,,,20.01,1,5,2,1,1.5,2.29,1.581,,Groceries > Ghees & Oils,
200780,KTC Pure Mustard Oil 1LT,1,0,,,,,20.01,1,2,2,1,1.5,5.25,3.09,,Groceries > Ghees & Oils,
200781,Shankar Gingelly Oil 1Lt,1,0,,,,,20.01,0,0,2,1,1.5,5.99,4.5,,Groceries > Ghees & Oils,
200782,Udaya Krishna Ghee 500ml,1,0,,,,,20.01,1,7,2,1,1.5,9.49,7,,Groceries > Ghees & Oils,
200783,Amul Cow Ghee 500ml,1,0,,,,,20.01,1,6,2,1,1.5,8.99,6,,Groceries > Ghees & Oils,
200784,Vatika Mustard Hair Oil 200Ml,1,0,,,,,20.01,1,5,2,1,1.5,4.65,3.26,,"Groceries > Ghees & Oils, Household > Health & Wellbeing",
200785,Parachute Coconut Hair Oil 500Ml,1,0,,,,,20.01,1,5,2,1,1.5,3.99,2.59,,"Groceries > Ghees & Oils, Household > Health & Wellbeing",
200786,Dabur Amla Gold Oil 200Ml,1,0,,,,,20.01,1,4,2,1,1.5,3.75,2.75,,"Groceries > Ghees & Oils, Household > Health & Wellbeing",
200787,Parachute Coconut Hair Oil 200Ml,1,0,,,,,20.01,1,17,2,1,1.5,2.49,1.55,,"Groceries > Ghees & Oils, Household > Health & Wellbeing",
200788,Dabur Amla Hair Oil 200Ml,1,0,,,,,20.01,1,5,2,1,1.5,3.69,2.688,,"Groceries > Ghees & Oils, Household > Health & Wellbeing",
200789,Navratna Hair Oil 200Ml,1,0,,,,,20.01,1,4,2,1,1.5,4,2.988,,"Groceries > Ghees & Oils, Household > Health & Wellbeing",
200790,Dabur Amla Anti Dandruff Ho 200Ml,1,0,,,,,20.01,1,5,2,1,1.5,4.99,3.588,,"Groceries > Ghees & Oils, Household > Health & Wellbeing",
200791,Village Sesame Oil 1Lt,1,0,,,,,20.01,0,0,2,1,1.5,4.99,3.6,,"Groceries > Ghees & Oils, Household > Pooja",
200792,Shivi Sesame Oil 1Lt,1,0,,,,,20.01,0,0,2,1,1.5,4.49,3.2,,"Groceries > Ghees & Oils, Household > Pooja",
200793,Shivi Groundnut Oil 1Lt,1,0,,,,,20.01,0,0,2,1,1.5,3.99,2.7,,"Groceries > Ghees & Oils, Household > Pooja",
200794,Dheepam Lamp Oil 500ml,1,0,,,,,20.01,0,0,2,1,1.5,2.49,1.65,,"Groceries > Ghees & Oils, Household > Pooja",
200795,Apricots Dried 700G,1,0,,,,,20.01,1,4,2,1,1.5,6.99,4.93,,Groceries > Nuts & Dry Fruits,
200796,Dry Fruit & Nut Mix 700G,1,0,,,,,20.01,1,5,2,1,1.5,5.99,4.3,,Groceries > Nuts & Dry Fruits,
200797,Walnut Halves 450G,1,0,,,,,20.01,1,6,2,1,1.5,5.25,3.6,,Groceries > Nuts & Dry Fruits,
200798,Dry Fruit Mix 700G,1,0,,,,,20.01,1,3,2,1,1.5,4.25,2.9,,Groceries > Nuts & Dry Fruits,
200799,Jaimin Dryfruit Chikki 100G,1,0,,,,,20.01,0,0,2,1,1.5,1.99,1.43,,Groceries > Nuts & Dry Fruits,
200800,Jaimin Coconut Chikki 100G,1,0,,,,,20.01,0,0,2,1,1.5,1.49,0.99,,Groceries > Nuts & Dry Fruits,
200801,Village Cashew Nut Split 750G,1,0,,,,,20.01,1,3,2,1,1.5,6.99,4.75,,Groceries > Nuts & Dry Fruits,
200802,Village Cashew Kernal (Whole) 500G,1,0,,,,,20.01,0,0,2,1,1.5,6.49,5.5,,Groceries > Nuts & Dry Fruits,
200803,Desi S-Mart Cashew Kernal (Whole) 750G,1,0,,,,,20.01,1,2,2,1,1.5,5.99,4.3,,Groceries > Nuts & Dry Fruits,
200804,Desi S-Mart Cashew Nut Pieces (Broken) 700G,1,0,,,,,20.01,0,0,2,1,1.5,4.75,2.78,,Groceries > Nuts & Dry Fruits,
200805,Village Pista Kernals 100G,1,0,,,,,20.01,1,35,2,1,1.5,2.25,1.65,,Groceries > Nuts & Dry Fruits,
200806,Village Raisins (Kismis) 100G,1,0,,,,,20.01,1,57,2,1,1.5,0.99,0.6,,Groceries > Nuts & Dry Fruits,
200807,Bodrum Pine Nuts 50g,1,0,,,,,20.01,1,4,2,1,1.5,2.99,2.11,,Groceries > Nuts & Dry Fruits,
200808,Bodrum Almonds raw 600g,1,0,,,,,20.01,1,3,2,1,1.5,5.99,4.53,,Groceries > Nuts & Dry Fruits,
200809,Charliee Peanut Chikki 100g,1,0,,,,,20.01,1,5,2,1,1.5,0.99,0.7,,Groceries > Nuts & Dry Fruits,
200810,Natco Cashew Large 750G,1,0,,,,,20.01,1,3,2,1,1.5,8.75,6.24,,Groceries > Nuts & Dry Fruits,
200811,Natco Cashews Kernel 300G,1,0,,,,,20.01,1,3,2,1,1.5,3.49,2.34,,Groceries > Nuts & Dry Fruits,
200812,Shree Krishna Cashew Whole 400g,1,0,,,,,20.01,1,3,2,1,1.5,5.99,3.75,,Groceries > Nuts & Dry Fruits,
200813,Bodrum Monkey Nuts 200g,1,0,,,,,20.01,1,5,2,1,1.5,1.49,0.99,,Groceries > Nuts & Dry Fruits,
200814,EE Almonds  700g,1,0,,,,,20.01,1,2,2,1,1.5,5.99,4.65,,Groceries > Nuts & Dry Fruits,
200815,EE Cashew Nuts 700G,1,0,,,,,20.01,1,5,2,1,1.5,7.49,4.73,,Groceries > Nuts & Dry Fruits,
200816,EE Broken Cashew Nuts 1kg,1,0,,,,,20.01,1,4,2,1,1.5,6.25,4.91,,Groceries > Nuts & Dry Fruits,
200817,EE Pistachio kernels 100g,1,0,,,,,20.01,1,14,2,1,1.5,3.6,2.68,,Groceries > Nuts & Dry Fruits,
200818,EE Roasted Gram salted 300g,1,0,,,,,20.01,1,13,2,1,1.5,1.69,1.15,,Groceries > Nuts & Dry Fruits,
200819,Saras Rajgiro Chikki Loose 200G,1,0,,,,,20.01,0,0,2,1,1.5,1.69,1.2,,Groceries > Nuts & Dry Fruits,
200820,Natco Dried dates300G,1,0,,,,,20.01,1,4,2,1,1.5,3.49,2.34,,Groceries > Nuts & Dry Fruits,
200821,Desi S-Mart Gummadi (Pumpkin) Vadiyalu 250G,1,0,,,,,20.01,0,0,2,1,1.5,3.49,1.33,,Groceries > Papads (Fryums),
200822,Desi S-Mart Sabudana (Saggubiyam) Fryums 250G,1,0,,,,,20.01,0,0,2,1,1.5,1.99,1.05,,Groceries > Papads (Fryums),
200823,Lijjat Punjabi Masala Poppadom,1,0,,,,,20.01,1,4,2,1,1.5,1.79,1.2375,,Groceries > Papads (Fryums),
200824,Shivi Papad Mixed Shapes 250G,1,0,,,,,20.01,0,0,2,1,1.5,1.79,0.45,,Groceries > Papads (Fryums),
200825,Desi S-Mart Sesame Papad 250G,1,0,,,,,20.01,0,0,2,1,1.5,1.59,1.1,,Groceries > Papads (Fryums),
200826,Desi S-Mart Papad (Appadalu) 250G,1,0,,,,,20.01,0,0,2,1,1.5,1.49,0.97,,Groceries > Papads (Fryums),
200827,Natco Plain Poppadums 200G,1,0,,,,,20.01,1,9,2,1,1.5,1.49,0.92,,Groceries > Papads (Fryums),
200828,Village Fryums (Farfar Tubes) 250G,1,0,,,,,20.01,1,81,2,1,1.5,1.49,0.95,,Groceries > Papads (Fryums),
200829,Lijjat Green Chilli Poppadom,1,0,,,,,20.01,1,5,2,1,1.5,1.39,0.9275,,Groceries > Papads (Fryums),
200830,Shankar Madras Pappad 7in 200G,1,0,,,,,20.01,0,0,2,1,1.5,1.29,0.75,,Groceries > Papads (Fryums),
200831,Shivi Papad (Biyyam Vadiyalu) 100G,1,0,,,,,20.01,1,8,2,1,1.5,1.25,0.8,,Groceries > Papads (Fryums),
200832,Shankar Vadagam Round 200G,1,0,,,,,20.01,1,3,2,1,1.5,0.99,0.75,,Groceries > Papads (Fryums),
200833,Shankar Vadagam Star 200G,1,0,,,,,20.01,1,6,2,1,1.5,0.99,0.75,,Groceries > Papads (Fryums),
200834,Shankar Vadagam Tube 200G,1,0,,,,,20.01,1,4,2,1,1.5,0.99,0.75,,Groceries > Papads (Fryums),
200835,Village Papad 100G,1,0,,,,,20.01,0,0,2,1,1.5,0.99,0.49,,Groceries > Papads (Fryums),
200836,Jabsons Ready To Cook Pani Puri 200G,1,0,,,,,20.01,1,3,2,1,1.5,1.49,0.75,,Groceries > Papads (Fryums),
200837,Kailash Bhel Pani Puri Kit 400G,1,0,,,,,20.01,1,6,2,1,1.5,2.75,1.75,,Groceries > Papads (Fryums),
200838,TF Sabudana Fryums 100g,1,0,,,,,20.01,0,0,2,1,1.5,1.99,1.2,,Groceries > Papads (Fryums),
200839,Jaimin Puanjabi Papad 200G,1,0,,,,,20.01,1,5,2,1,1.5,1.49,0.89,,Groceries > Papads (Fryums),
200840,Jcr Pani Puri Raw Pellet 200G,1,0,,,,,20.01,1,3,2,1,1.5,2.25,1.49,,Groceries > Papads (Fryums),
200841,Shree Krishna Madram Appalam 200g,1,0,,,,,20.01,1,4,2,1,1.5,1.29,0.8,,Groceries > Papads (Fryums),
200842,Saras Khakhara Plain 200G,1,0,,,,,20.01,1,5,2,1,1.5,1.19,0.74,,Groceries > Papads (Fryums),
200843,Saras Khakhara Jeera 200G,1,0,,,,,20.01,1,5,2,1,1.5,1.19,0.74,,Groceries > Papads (Fryums),
200844,Saras Khakhara Masala 200G,1,0,,,,,20.01,1,5,2,1,1.5,1.19,0.74,,Groceries > Papads (Fryums),
200845,Saras Bhakhri Ratlami  180G,1,0,,,,,20.01,1,4,2,1,1.5,1.19,0.79,,Groceries > Papads (Fryums),
200846,Saras Farfar Mix 200G,1,0,,,,,20.01,1,4,2,1,1.5,1.29,0.59,,Groceries > Papads (Fryums),
200847,Sk Chilli Garlic Rice Cracker 250G,1,0,,,,,20.01,1,5,2,1,1.5,2.99,1.75,,Groceries > Papads (Fryums),
200848,Sk Jeera Rice Cracker 250G,1,0,,,,,20.01,1,5,2,1,1.5,2.99,1.75,,Groceries > Papads (Fryums),
200849,Sk Salted Chilli 100G,1,0,,,,,20.01,1,4,2,1,1.5,1.49,0.8,,Groceries > Papads (Fryums),
200850,Sri Durga Vadagam Star 200G,1,0,,,,,20.01,1,5,2,1,1.5,1.09,0.75,,Groceries > Papads (Fryums),
200851,Sri Durga Vadagam Round 200G,1,0,,,,,20.01,1,5,2,1,1.5,1.09,0.75,,Groceries > Papads (Fryums),
200852,Sri Durga Vadagam Tube 200G,1,0,,,,,20.01,1,5,2,1,1.5,1.09,0.75,,Groceries > Papads (Fryums),
200853,Village  Sago Papad 200G,1,0,,,,,20.01,1,1,2,1,1.5,1.99,1.49,,Groceries > Papads (Fryums),
200854,Village Papad 100g,0,0,,,,,20.01,0,0,2,1,1.5,0.99,0.49,,Groceries > Papads (Fryums),
200855,Madurai Meenakshi Appalam 200g,1,0,,,,,20.01,1,5,2,1,1.5,0.99,0.65,,"Groceries > Papads (Fryums), Sale",
200856,East End Yellow Gram 500G,1,0,,,,,20.01,1,10,2,1,1.5,1.49,0.96,,Groceries > Pulses & Dals,
200857,TRS Pink Peanuts 1.5Kg,1,0,,,,,20.01,0,0,2,1,1.5,5.99,4.28,,Groceries > Pulses & Dals,
200858,Desi S-Mart Groundnut (Indian Peanuts) Roasted 1Kg,1,0,,,,,20.01,0,0,2,1,1.5,4.49,2.2,,Groceries > Pulses & Dals,
200859,Village Groundnut (Indian Peanuts) 1Kg,1,0,,,,,20.01,1,4,2,1,1.5,3.99,2.69,,Groceries > Pulses & Dals,
200860,Village Red Lentils (Masoor Dal) 5Kg,0,0,,,,,20.01,0,0,2,1,1.5,9.99,6,,Groceries > Pulses & Dals,
200861,Shivi Toor Dal 2Kg,1,0,,,,,20.01,0,0,2,1,1.5,5.49,3.6,,Groceries > Pulses & Dals,
200862,Village Sesame Seeds 1Kg,1,0,,,,,20.01,1,4,2,1,1.5,4.49,3.15,,Groceries > Pulses & Dals,
200863,Village Toor Dal 2Kg,1,0,,,,,20.01,1,4,2,1,1.5,5.49,3.85,,Groceries > Pulses & Dals,
200864,Desi S-Mart Mung Dal Split 2Kg (1Kg X 2),1,0,,,,,20.01,1,170,2,1,1.5,4.99,3.64,,Groceries > Pulses & Dals,
200865,Ee Red Lentils Polished 2Kg,1,0,,,,,20.01,1,4,2,1,1.5,4.99,3.67,,Groceries > Pulses & Dals,
200866,Desi S-Mart Sesame Seeds 1Kg,1,0,,,,,20.01,1,279,2,1,1.5,3.99,2.75,,Groceries > Pulses & Dals,
200867,Ee Black Eye Beans 1Kg,1,0,,,,,20.01,1,3,2,1,1.5,2.99,2.21,,Groceries > Pulses & Dals,
200868,Ee Mung Whole No.1 1Kg,1,0,,,,,20.01,1,5,2,1,1.5,2.99,2.04,,Groceries > Pulses & Dals,
200869,Ee Urid Dal Washed 1Kg,1,0,,,,,20.01,1,3,2,1,1.5,2.99,2.33,,Groceries > Pulses & Dals,
200870,TRS Urid Dall 1Kg,1,0,,,,,20.01,1,3,2,1,1.5,2.99,1.64,,Groceries > Pulses & Dals,
200871,Village Black Eyed Beans (Lobia) 1Kg,1,0,,,,,20.01,1,41,2,1,1.5,2.99,2.05,,Groceries > Pulses & Dals,
200872,Village Mung Chilka 1Kg,1,0,,,,,20.01,1,4,2,1,1.5,2.99,1.85,,Groceries > Pulses & Dals,
200873,Village Mung Dal Split 1Kg,1,0,,,,,20.01,1,1,2,1,1.5,2.99,1.79,,Groceries > Pulses & Dals,
200874,Village Mung Whole 1Kg,1,0,,,,,20.01,1,4,2,1,1.5,2.99,1.79,,Groceries > Pulses & Dals,
200875,Village Toor Dal Oily 1Kg,1,0,,,,,20.01,1,3,2,1,1.5,2.49,1.79,,Groceries > Pulses & Dals,
200876,Village White Chickpeas 1Kg,1,0,,,,,20.01,1,8,2,1,1.5,2.49,1.69,,Groceries > Pulses & Dals,
200877,Ee Red Kidney Beans No.1 1Kg,1,0,,,,,20.01,1,5,2,1,1.5,2.89,2.13,,Groceries > Pulses & Dals,
200878,Ee Toor Dal 1Kg,1,0,,,,,20.01,1,15,2,1,1.5,2.89,2.04,,Groceries > Pulses & Dals,
200879,Desi S-Mart Mung Chilka (Green Gram) 1Kg,1,0,,,,,20.01,1,194,2,1,1.5,2.75,1.81,,Groceries > Pulses & Dals,
200880,Desi S-Mart Mung Dal Split (Green Gram) 1Kg,1,0,,,,,20.01,1,265,2,1,1.5,2.75,1.82,,Groceries > Pulses & Dals,
200881,Desi S-Mart Mung Whole (Green Gram) 1Kg,1,0,,,,,20.01,1,238,2,1,1.5,2.75,1.86,,Groceries > Pulses & Dals,
200882,Desi S-Mart Toor Dal (Kandipappu) 1Kg,1,0,,,,,20.01,1,217,2,1,1.5,2.75,1.87,,Groceries > Pulses & Dals,
200883,Desi S-Mart Urid Chilka (Black Gram Split With Skin) 1Kg,1,0,,,,,20.01,1,171,2,1,1.5,2.75,1.81,,Groceries > Pulses & Dals,
200884,Desi S-Mart Urid Gota (Black Gram) 1Kg,1,0,,,,,20.01,1,55,2,1,1.5,2.75,1.95,,Groceries > Pulses & Dals,
200885,Desi S-Mart Urid Split (Black Gram) 1Kg,1,0,,,,,20.01,1,406,2,1,1.5,2.75,1.89,,Groceries > Pulses & Dals,
200886,Village Red Lentils (Masoor Dal) 1Kg,1,0,,,,,20.01,1,4,2,1,1.5,2.25,1.42,,Groceries > Pulses & Dals,
200887,Ee Bajri Flolr 1Kg,1,0,,,,,20.01,1,2,2,1,1.5,2.65,1.87,,Groceries > Pulses & Dals,
200888,Village Chana Dal 1Kg,1,0,,,,,20.01,1,6,2,1,1.5,2.59,1.55,,Groceries > Pulses & Dals,
200889,Desi S-Mart Rajma (Kidney Beans) 1Kg,1,0,,,,,20.01,0,0,2,1,1.5,2.49,1.68,,Groceries > Pulses & Dals,
200890,Desi S-Mart Red Lentils (Masoor Dal) 1Kg,1,0,,,,,20.01,1,103,2,1,1.5,2.49,1.72,,Groceries > Pulses & Dals,
200891,Desi S-Mart White Chickpeas (Kabuli Chana) 1Kg,1,0,,,,,20.01,1,112,2,1,1.5,2.49,1.97,,Groceries > Pulses & Dals,
200892,Shivi Black Eyed Beans (Lobia) 1Kg,1,0,,,,,20.01,0,0,2,1,1.5,2.49,1.45,,Groceries > Pulses & Dals,
200893,Village Horse Gram Black (Ulavalu) 1Kg,1,0,,,,,20.01,1,47,2,1,1.5,2.49,1.8,,Groceries > Pulses & Dals,
200894,Village Horse Gram (Ulavalu) 1Kg,1,0,,,,,20.01,1,4,2,1,1.5,2.49,1.8,,Groceries > Pulses & Dals,
200895,Village Kala Chana (Chickpeas) 1Kg,1,0,,,,,20.01,1,5,2,1,1.5,2.49,1.65,,Groceries > Pulses & Dals,
200896,Village Kidney Beans 1Kg,1,0,,,,,20.01,1,3,2,1,1.5,2.49,2.1,,Groceries > Pulses & Dals,
200897,Village Peas 1Kg,1,0,,,,,20.01,1,6,2,1,1.5,2.49,1.85,,Groceries > Pulses & Dals,
200898,Village Sabudana (Sago Seeds) 1Kg,0,0,,,,,20.01,0,0,2,1,1.5,2.49,1.59,,Groceries > Pulses & Dals,
200899,Village Urid Gota 2Kg,1,0,,,,,20.01,1,4,2,1,1.5,5.49,3.95,,Groceries > Pulses & Dals,
200900,Desi S-Mart Chana Dal 1Kg,1,0,,,,,20.01,1,250,2,1,1.5,2.25,1.5,,Groceries > Pulses & Dals,
200901,Desi S-Mart Green Peas 1Kg,1,0,,,,,20.01,0,0,2,1,1.5,2.25,1.6,,Groceries > Pulses & Dals,
200902,Desi S-Mart Black Chickpeas (Kala Chana) 1Kg,1,0,,,,,20.01,1,229,2,1,1.5,1.99,1.42,,Groceries > Pulses & Dals,
200903,Desi S-Mart Fried Gram (Putnaalu) 750G,1,0,,,,,20.01,1,244,2,1,1.5,1.99,1.25,,Groceries > Pulses & Dals,
200904,Desi S-Mart Sago Seeds (Sabudana) 1Kg,1,0,,,,,20.01,1,286,2,1,1.5,2.49,1.35,,Groceries > Pulses & Dals,
200905,Is Popcorn 500G,1,0,,,,,20.01,1,7,2,1,1.5,1.99,0.72,,Groceries > Pulses & Dals,
200906,Village Green Lentils 1Kg,1,0,,,,,20.01,1,3,2,1,1.5,1.99,1.25,,Groceries > Pulses & Dals,
200907,Ee Chick Peas 500G,1,0,,,,,20.01,1,8,2,1,1.5,1.89,1.38,,Groceries > Pulses & Dals,
200908,Ee Urid Dall Washed 500G,1,0,,,,,20.01,1,4,2,1,1.5,1.89,1.41,,Groceries > Pulses & Dals,
200909,Shakti Popcorn 500G,1,0,,,,,20.01,1,178,2,1,1.5,1.79,0.99,,Groceries > Pulses & Dals,
200910,Ee Moong Dal Chilka-B 500G,1,0,,,,,20.01,1,7,2,1,1.5,1.69,1.25,,Groceries > Pulses & Dals,
200911,Ee Green Lentils-B 500G,1,0,,,,,20.01,1,7,2,1,1.5,1.65,1.21,,Groceries > Pulses & Dals,
200912,Ee Urid Dall Chilka 500G,1,0,,,,,20.01,1,15,2,1,1.5,1.65,1.17,,Groceries > Pulses & Dals,
200913,Red Kidney Beans No.1 500G,1,0,,,,,20.01,1,15,2,1,1.5,1.65,1.12,,Groceries > Pulses & Dals,
200914,Ee Brown Lentil Polish 500G,1,0,,,,,20.01,1,10,2,1,1.5,1.59,1.15,,Groceries > Pulses & Dals,
200915,Ee Moth Whole Indian 500G,1,0,,,,,20.01,1,20,2,1,1.5,1.55,1.01,,Groceries > Pulses & Dals,
200916,Ee Urid Whole 500G,1,0,,,,,20.01,1,16,2,1,1.5,1.59,1.1,,Groceries > Pulses & Dals,
200917,Laila Chickpeas 500G,1,0,,,,,20.01,1,7,2,1,1.5,1.49,0.94,,Groceries > Pulses & Dals,
200918,Laila Green Lentils 500G,1,0,,,,,20.01,1,7,2,1,1.5,1.49,0.95,,Groceries > Pulses & Dals,
200919,Shivi Horse Gram (Ulavalu) 1Kg,0,0,,,,,20.01,1,5,2,1,1.5,1.49,1.35,,Groceries > Pulses & Dals,
200920,Ee Chan Dal Indian 500G,1,0,,,,,20.01,1,10,2,1,1.5,1.39,0.85,,Groceries > Pulses & Dals,
200921,Shankar Roasted Kabuli Chana 400G,1,0,,,,,20.01,0,0,2,1,1.5,1.39,0.99,,Groceries > Pulses & Dals,
200922,Ee Popcorn 500G,1,0,,,,,20.01,1,5,2,1,1.5,1.39,0.97,,Groceries > Pulses & Dals,
200923,Laila Canned Red Kidney Beans 400G,1,0,,,,,20.01,1,12,2,1,1.5,0.89,0.51,,Groceries > Pulses & Dals,
200924,Laila Canned Chickpeas 400G,1,0,,,,,20.01,1,6,2,1,1.5,0.59,0.33,,Groceries > Pulses & Dals,
200925,Shivi Urid Gota 2kg,1,0,,,,,20.01,1,5,2,1,1.5,5.49,3.6,,Groceries > Pulses & Dals,
200926,Shivi Chickpeas 1kg,1,0,,,,,20.01,1,4,2,1,1.5,2.99,1.45,,Groceries > Pulses & Dals,
200927,Shivi Kala Chana 1kg,1,0,,,,,20.01,1,3,2,1,1.5,2.25,1.35,,Groceries > Pulses & Dals,
200928,Shivi Chana Dal 1kg,1,0,,,,,20.01,1,8,2,1,1.5,2.49,1.4,,Groceries > Pulses & Dals,
200929,Shivi Fried Gram 750g,1,0,,,,,20.01,1,3,2,1,1.5,1.99,1.09,,Groceries > Pulses & Dals,
200930,Shivi Mung Dal Split 1kg,1,0,,,,,20.01,1,4,2,1,1.5,2.99,1.7,,Groceries > Pulses & Dals,
200931,Shivi Mung Whole 1kg,1,0,,,,,20.01,1,5,2,1,1.5,2.99,1.7,,Groceries > Pulses & Dals,
200932,Greenfields White Sesame 200g,1,0,,,,,20.01,0,0,2,1,1.5,1.99,1.625,,Groceries > Pulses & Dals,
200933,East End Red Peanuts 1kg,1,0,,,,,20.01,1,5,2,1,1.5,5.29,4.06,,Groceries > Pulses & Dals,
200934,East End Red Peanuts 400g,1,0,,,,,20.01,1,2,2,1,1.5,2.19,1.6175,,Groceries > Pulses & Dals,
200935,Natco Pink Peanuts 400g,1,0,,,,,20.01,0,0,2,1,1.5,1.99,1.42,,Groceries > Pulses & Dals,
200936,Top Op Chia Seeds 100g,1,0,,,,,20.01,1,3,2,1,1.5,1.35,0.95,,Groceries > Pulses & Dals,
200937,Kolsons Unroasted Pasta 425g,1,0,,,,,20.01,1,12,2,1,1.5,1.39,0.83,,Groceries > Pulses & Dals,
200938,Kolsons Roasted Pasta 425g,1,0,,,,,20.01,1,12,2,1,1.5,1.39,0.83,,Groceries > Pulses & Dals,
200939,Krish Rosted Chana 200G,1,0,,,,,20.01,0,0,2,1,1.5,1.25,0.79,,Groceries > Pulses & Dals,
200940,Shree Krishna Roasted Fried Gram 750g,1,0,,,,,20.01,0,0,2,1,1.5,2.49,1.75,,Groceries > Pulses & Dals,
200941,Tropical Sun Blackeye Beans 500G,1,0,,,,,20.01,1,4,2,1,1.5,1.49,0.99,,Groceries > Pulses & Dals,
200942,Tropical Sun Light Red Kidney Bean 500G,1,0,,,,,20.01,1,6,2,1,1.5,1.69,1.19,,Groceries > Pulses & Dals,
200943,Tropical Sun Pink Skin Peanut 1.5Kg,1,0,,,,,20.01,0,'-1,2,1,1.5,5.99,4.16,,Groceries > Pulses & Dals,
200944,Tropical Sun Pink Skin Peanut 500G,1,0,,,,,20.01,1,18,2,1,1.5,2.49,1.29,,Groceries > Pulses & Dals,
200945,Tropical Sun Red Skin Peanut 1.5Kg,1,0,,,,,20.01,1,8,2,1,1.5,6.99,4.83,,Groceries > Pulses & Dals,
200946,Tropical Sun Red Skin Peanut 500G,1,0,,,,,20.01,1,17,2,1,1.5,2.49,1.57,,Groceries > Pulses & Dals,
200947,EE Moong Whole 2kg,1,0,,,,,20.01,1,4,2,1,1.5,4.99,3.48,,Groceries > Pulses & Dals,
200948,EE Black Eye Beans 2kg,1,0,,,,,20.01,1,3,2,1,1.5,5.49,4.25,,Groceries > Pulses & Dals,
200949,Saras Mini Sago Seeds 1Kg,1,0,,,,,20.01,1,4,2,1,1.5,2.49,1.83,,Groceries > Pulses & Dals,
200950,Natures Black Sesame 200g,1,0,,,,,20.01,1,5,2,1,1.5,2.19,1.15,,Groceries > Pulses & Dals,
200951,Natures White Sesame 200g,1,0,,,,,20.01,1,5,2,1,1.5,1.99,1.15,,Groceries > Pulses & Dals,
200952,EE Toor Dal Dry 2kg,1,0,,,,,20.01,1,5,2,1,1.5,6.99,5.78,,Groceries > Pulses & Dals,
200953,EE Black Sesame 400g,1,0,,,,,20.01,1,3,2,1,1.5,2.49,1.6475,,Groceries > Pulses & Dals,
200954,Village Black Sesame 500g,1,0,,,,,20.01,1,4,2,1,1.5,2.29,1.6,,Groceries > Pulses & Dals,
200955,Village Black Sesame 100g,1,0,,,,,20.01,1,5,2,1,1.5,0.99,0.45,,Groceries > Pulses & Dals,
200956,Hz Big Soup Beef&Veg 400G,1,0,,,,,20.01,1,12,2,1,1.5,2.2,1.65,,Groceries > Soups,
200957,Hz Big Soup Chkn/Veg 400G,1,0,,,,,20.01,1,12,2,1,1.5,2.2,1.65,,Groceries > Soups,
200958,Oxo Chi Cken Cubes 71G,1,0,,,,,20.01,1,12,2,1,1.5,1.99,1.15,,Groceries > Soups,
200959,Oxo Cubes Red 71G,1,0,,,,,20.01,1,12,2,1,1.5,1.99,1.15,,Groceries > Soups,
200960,Hz Soup Lentil 400G,1,0,,,,,20.01,1,12,2,1,1.5,1.89,1.3,,Groceries > Soups,
200961,Bat Cas Chicken 81G,1,0,,,,,20.01,1,9,2,1,1.5,1.75,1.26,,Groceries > Soups,
200962,Hz Crm M/Rm Soup 400G,1,0,,,,,20.01,1,12,2,1,1.5,1.55,1.07,,Groceries > Soups,
200963,Hz Crm/Chkn Soup 400G,1,0,,,,,20.01,1,12,2,1,1.5,1.55,1.07,,Groceries > Soups,
200964,Hz Soup Tomato 400G,1,0,,,,,20.01,1,24,2,1,1.5,1.55,1.07,,Groceries > Soups,
200965,Jacks Cup Soup Bro&Stn 5 X 24G,1,0,,,,,20.01,1,6,2,1,1.5,1.09,0.76,,Groceries > Soups,
